function	tair_id	gene_name	Glyma_id	gene-name
ROS	AT1G05940	CAT9	Glyma.09G242000	Glyma.09G242000
ROS	AT1G05940	CAT9	Glyma.18G253600	Glyma.18G253600
ROS	AT1G17120	CAT8	Glyma.09G009500	Glyma.09G009500
ROS	AT1G20630	CAT1	Glyma.14G223500	Glyma.14G223500
ROS	AT1G20630	CAT1	Glyma.17G261700	Glyma.17G261700
ROS	AT1G20630	CAT1	Glyma.04G017500	Glyma.04G017500
ROS	AT1G20630	CAT1	Glyma.06G017900	Glyma.06G017900
ROS	AT2G34960	CAT5	Glyma.09G050600	Glyma.09G050600
ROS	AT2G34960	CAT5	Glyma.09G050200	Glyma.09G050200
ROS	AT3G03720	CAT4	Glyma.16G036300	Glyma.16G036300
ROS	AT3G03720	CAT4	Glyma.19G116400	Glyma.19G116400
ROS	AT3G10600	CAT7	Glyma.20G111900	Glyma.20G111900
ROS	AT4G35090	CAT2	Glyma.14G223500	Glyma.14G223500
ROS	AT4G35090	CAT2	Glyma.17G261700	Glyma.17G261700
ROS	AT4G35090	CAT2	Glyma.04G017500	Glyma.04G017500
ROS	AT4G35090	CAT2	Glyma.06G017900	Glyma.06G017900
ROS	AT5G04770	CAT6	Glyma.20G111900	Glyma.20G111900
ROS	AT1G28480	GRX480	Glyma.13G174100	Glyma.13G174100
ROS	AT1G28480	GRX480	Glyma.15G078600	Glyma.15G078600
ROS	AT1G28480	GRX480	Glyma.13G234500	Glyma.13G234500
ROS	AT3G15660	GRX4	Glyma.07G032600	Glyma.07G032600
ROS	AT3G15660	GRX4	Glyma.08G209900	Glyma.08G209900
ROS	AT3G15660	GRX4	Glyma.13G363100	Glyma.13G363100
ROS	AT4G04950	GRXS17	Glyma.13G180400	Glyma.13G180400
ROS	AT4G28730	GRXC5	Glyma.13G128900	Glyma.13G128900
ROS	AT4G28730	GRXC5	Glyma.06G269000	Glyma.06G269000
ROS	AT4G28730	GRXC5	Glyma.10G041900	Glyma.10G041900
ROS	AT5G40370	GRXC2	Glyma.16G072400	Glyma.16G072400
ROS	AT3G06050	PRXIIF	Glyma.15G105600	Glyma.15G105600
ROS	AT3G06050	PRXIIF	Glyma.13G207000	Glyma.13G207000
ROS	AT3G26060	PRXQ	Glyma.13G113200	Glyma.13G113200
ROS	AT3G26060	PRXQ	Glyma.17G046500	Glyma.17G046500
ROS	AT4G21960	PRXR1	Glyma.07G260300	Glyma.07G260300
ROS	AT4G21960	PRXR1	Glyma.17G013600	Glyma.17G013600
ROS	AT5G05340	PRX52	Glyma.04G220600	Glyma.04G220600
ROS	AT5G05340	PRX52	Glyma.06G145300	Glyma.06G145300
ROS	AT1G67960	POD1	Glyma.04G189300	Glyma.04G189300
ROS	AT1G67960	POD1	Glyma.06G176300	Glyma.06G176300
ROS	AT1G64060	RBOH_F	Glyma.11G020700	Glyma.11G020700
ROS	AT1G64060	RBOH_F	Glyma.01G222700	Glyma.01G222700
ROS	AT1G64060	RBOH_F	Glyma.05G212500	Glyma.05G212500
ROS	AT1G64060	RBOH_F	Glyma.08G018900	Glyma.08G018900
ROS	AT5G07390	RBOHA	Glyma.04G203200	Glyma.04G203200
ROS	AT5G07390	RBOHA	Glyma.06G162300	Glyma.06G162300
ROS	AT5G47910	RBOHD	Glyma.20G236200	Glyma.20G236200
ROS	AT5G47910	RBOHD	Glyma.10G152200	Glyma.10G152200
ROS	AT5G47910	RBOHD	Glyma.03G236300	Glyma.03G236300
ROS	AT5G47910	RBOHD	Glyma.19G233900	Glyma.19G233900
ROS	AT1G63460	GPX8	Glyma.11G024000	Glyma.11G024000
ROS	AT1G63460	GPX8	Glyma.08G013900	Glyma.08G013900
